tag	n	accuracy	macro_f1	Entailment_R	Contradiction_R	Neutral_R	neutral_fail_count
bridge_question | agg=aggregated	30	0.6333333333333333	0.623442265795207	0.6	0.6666666666666666	0.6666666666666666	8
bridge_question | agg=sequential_cot	30	0.6	0.6116287094547964	0.4666666666666667	0.6666666666666666	0.8333333333333334	10
bridge_question | agg=voting	30	0.5666666666666667	0.5611769872639438	0.5333333333333333	0.4444444444444444	0.8333333333333334	11
h_question | seeder=pos | agg=aggregated	30	0.7333333333333333	0.7202264921563167	0.7333333333333333	0.5555555555555556	1.0	7
h_question | seeder=pos | agg=sequential_cot	30	0.5	0.5301587301587302	0.3333333333333333	0.5555555555555556	0.8333333333333334	14
h_question | seeder=pos | agg=voting	30	0.7	0.6958204334365324	0.6	0.6666666666666666	1.0	7
h_question | seeder=srl | agg=aggregated	30	0.8	0.7857142857142857	0.8	0.7777777777777778	0.8333333333333334	5
h_question | seeder=srl | agg=sequential_cot	30	0.5	0.5028985507246376	0.4666666666666667	0.3333333333333333	0.8333333333333334	14
h_question | seeder=srl | agg=voting	30	0.7	0.6915954415954415	0.6666666666666666	0.6666666666666666	0.8333333333333334	7
p_question | gen=decomposition | agg=aggregated	30	0.6666666666666666	0.6699134199134198	0.6	0.5555555555555556	1.0	10
p_question | gen=decomposition | agg=sequential_cot	30	0.5	0.5111832611832613	0.4	0.4444444444444444	0.8333333333333334	13
p_question | gen=decomposition | agg=voting	30	0.4666666666666667	0.4761904761904762	0.3333333333333333	0.3333333333333333	1.0	16
p_question | gen=seeded|seeder=pos | agg=aggregated	30	0.36666666666666664	0.3619625988047041	0.26666666666666666	0.2222222222222222	0.8333333333333334	17
p_question | gen=seeded|seeder=pos | agg=sequential_cot	30	0.3	0.2915966386554622	0.06666666666666667	0.3333333333333333	0.8333333333333334	17
p_question | gen=seeded|seeder=pos | agg=voting	30	0.23333333333333334	0.17825311942959002	0.0	0.1111111111111111	1.0	22
p_question | gen=seeded|seeder=srl | agg=aggregated	30	0.3333333333333333	0.3346628679962013	0.26666666666666666	0.2222222222222222	0.6666666666666666	17
p_question | gen=seeded|seeder=srl | agg=sequential_cot	30	0.4	0.4028882994400236	0.2	0.3333333333333333	1.0	17
p_question | gen=seeded|seeder=srl | agg=voting	30	0.3333333333333333	0.31857474172464684	0.13333333333333333	0.2222222222222222	1.0	19
